ClassUtil,Statement_Coverage,Branch,CC,LOC,Mutation
BasicSearchProvider,0.04,0,21,72,0
LuceneSearchProvider,0.66,0.48,46,229,0.76
SearchManager,0.7,0.5,17,49,0.32
SearchManager.JSONSearch,0.02,0,25,75,0
SearchMatcher,0,0,14,27,0
AdminBeanIteratorTag,0,0,6,15,0
AttachmentsIteratorTag,0,0,12,43,0
AuthorTag,0,0,5,15,0
BreadcrumbsTag,0,0,17,40,0
CalendarTag,0,0,31,120,0
CheckLockTag,0,0,17,23,0
CheckRequestContextTag,0,0,10,20,0
CheckVersionTag,0,0,22,31,0
CommentLinkTag,0,0,7,18,0
ContentTag,0,0,16,41,0
CookieTag,0,0,47,115,0
DiffLinkTag,0,0,21,51,0
EditLinkTag,0,0,14,36,0
EditorIteratorTag,0,0,4,11,0
EditorTag,0,0,5,18,0
FeedDiscoveryTag,0,0,4,17,0
HasAttachmentsTag,0,0,7,12,0
HistoryIteratorTag,0,0,11,35,0
IfNoSearchResultsTag,0,0,4,5,0
IncludeTag,0,0,8,22,0
InsertDiffTag,0,0,9,25,0
InsertPageTag,0,0,13,30,0
IteratorTag,0,0,20,43,0
LinkTag,0,0,74,194,0
LinkToParentTag,0,0,5,12,0
LinkToTag,0,0,16,38,0
MessagesTag,0,0,13,35,0
NextVersionTag,0,0,3,8,0
NoSuchPageTag,0,0,8,14,0
PageDateTag,0,0,8,19,0
PageExistsTag,0,0,3,2,0
PageInfoLinkTag,0,0,9,23,0
PageNameTag,0,0,4,8,0
PageSizeTag,0,0,6,15,0
PageTypeTag,0,0,12,15,0
PageVersionTag,0,0,4,8,0
ParamTag,0,0,11,19,0
ParentPageNameTag,0,0,6,15,0
PermissionTag,0,0,26,49,0
PluginTag,0,0,12,35,0
PreviousVersionTag,0,0,3,7,0
RequestResourceTag,0,0,9,13,0
RSSImageLinkTag,0,0,11,27,0
SearchResultIteratorTag,0,0,16,40,0
SearchResultsSizeTag,0,0,3,5,0
SearchResultsTag,0,0,4,10,0
SetPaginationTag,0,0,35,90,0
TabbedSectionTag,0,0,22,51,0
TabTag,0,0,22,59,0
TranslateTag,0,0,4,16,0
UploadLinkTag,0,0,6,13,0
UserCheckTag,0,0,26,50,0
UserNameTag,0,0,5,13,0
UserProfileTag,0,0,41,80,0
VariableTag,0,0,8,28,0
WikiBodyTag,0,0,6,12,0
WikiLinkTag,0,0,10,21,0
WikiTagBase,0,0,10,21,0
AbstractCommand,0.83,0.68,22,38,0.89
CommandResolver,0.95,0.9,52,124,0.98
Editor,0,0,9,18,0
EditorManager,0.35,0.16,19,48,0.38
