GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Artifact,org.apache.maven.artifact.resolver,ArtifactResolutionException,49,0,0,0,12,0,6,0,6,0
Maven Artifact,org.apache.maven.artifact.resolver,ArtifactNotFoundException,95,0,0,0,15,0,6,0,6,0
Maven Artifact,org.apache.maven.artifact.resolver,MultipleArtifactsNotFoundException,119,0,4,0,26,0,7,0,5,0
Maven Artifact,org.apache.maven.artifact.resolver,AbstractArtifactResolutionException,548,0,32,0,133,0,35,0,19,0
Maven Artifact,org.apache.maven.artifact.resolver,CyclicDependencyException,11,0,0,0,4,0,2,0,2,0
Maven Artifact,org.apache.maven.repository,Proxy,59,0,0,0,25,0,17,0,17,0
Maven Artifact,org.apache.maven.artifact.repository.metadata,RepositoryMetadataStoreException,9,0,0,0,4,0,2,0,2,0
Maven Artifact,org.apache.maven.artifact.repository,ArtifactRepositoryPolicy,253,0,38,0,73,0,33,0,14,0
Maven Artifact,org.apache.maven.artifact.repository,Authentication,37,0,0,0,16,0,9,0,9,0
Maven Artifact,org.apache.maven.artifact.repository.layout,ArtifactRepositoryLayout,4,0,0,0,1,0,1,0,1,0
Maven Artifact,org.apache.maven.artifact,Artifact,0,4,0,0,0,1,0,1,0,1
Maven Artifact,org.apache.maven.artifact,InvalidArtifactRTException,90,0,0,0,21,0,9,0,9,0
Maven Artifact,org.apache.maven.artifact,ArtifactUtils,186,108,17,11,40,22,17,10,8,5
Maven Artifact,org.apache.maven.artifact,DefaultArtifact,397,322,53,33,97,88,71,30,36,22
Maven Artifact,org.apache.maven.artifact.handler,ArtifactHandler,4,0,0,0,1,0,1,0,1,0
Maven Artifact,org.apache.maven.artifact.versioning,ComparableVersion.BigIntegerItem,38,22,7,2,6,8,7,4,1,4
Maven Artifact,org.apache.maven.artifact.versioning,ComparableVersion.IntItem,13,67,1,14,1,18,1,15,0,7
Maven Artifact,org.apache.maven.artifact.versioning,InvalidVersionSpecificationException,0,4,0,0,0,2,0,1,0,1
Maven Artifact,org.apache.maven.artifact.versioning,ComparableVersion,88,275,12,34,13,62,8,25,1,9
Maven Artifact,org.apache.maven.artifact.versioning,DefaultArtifactVersion,11,263,4,42,2,64,4,31,0,12
Maven Artifact,org.apache.maven.artifact.versioning,OverConstrainedVersionException,11,0,0,0,4,0,2,0,2,0
Maven Artifact,org.apache.maven.artifact.versioning,VersionRange,183,743,50,136,37,177,41,70,5,13
Maven Artifact,org.apache.maven.artifact.versioning,Restriction,152,76,36,16,37,24,21,15,3,7
Maven Artifact,org.apache.maven.artifact.versioning,ComparableVersion.ListItem,17,143,3,33,2,33,3,21,0,5
Maven Artifact,org.apache.maven.artifact.versioning,ComparableVersion.StringItem,13,146,1,17,1,29,1,17,0,7
Maven Artifact,org.apache.maven.artifact.versioning,ComparableVersion.LongItem,30,47,8,8,4,12,7,8,0,5
