GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Model,org.apache.maven.model.merge,ModelMerger,5317,0,902,0,1374,0,662,0,211,0
Maven Model,org.apache.maven.model,InputSource,54,0,0,0,13,0,7,0,7,0
Maven Model,org.apache.maven.model,ActivationOS,90,3,8,0,25,1,15,1,11,1
Maven Model,org.apache.maven.model,PluginContainer,152,3,20,0,37,1,19,1,9,1
Maven Model,org.apache.maven.model,Organization,76,3,8,0,19,1,11,1,7,1
Maven Model,org.apache.maven.model,ModelBase,356,3,42,0,96,1,51,1,30,1
Maven Model,org.apache.maven.model,Dependency,225,33,20,0,57,3,36,2,26,2
Maven Model,org.apache.maven.model,DeploymentRepository,31,6,0,0,8,2,3,1,3,1
Maven Model,org.apache.maven.model,Relocation,90,3,8,0,25,1,15,1,11,1
Maven Model,org.apache.maven.model,ActivationFile,76,3,8,0,19,1,11,1,7,1
Maven Model,org.apache.maven.model,Parent,81,57,8,0,22,15,12,6,8,6
Maven Model,org.apache.maven.model,Notifier,135,18,12,0,40,6,24,1,18,1
Maven Model,org.apache.maven.model,InputLocation,265,0,32,0,70,0,29,0,13,0
Maven Model,org.apache.maven.model,Activation,121,6,14,0,34,2,20,1,13,1
Maven Model,org.apache.maven.model,PluginExecution,83,15,4,0,25,5,12,3,10,3
Maven Model,org.apache.maven.model,BuildBase,192,3,16,0,54,1,27,1,19,1
Maven Model,org.apache.maven.model,Build,112,3,6,0,34,1,18,1,15,1
Maven Model,org.apache.maven.model,PatternSet,162,77,18,6,37,16,21,4,9,4
Maven Model,org.apache.maven.model,Prerequisites,69,6,8,0,16,2,9,1,5,1
Maven Model,org.apache.maven.model,Profile,62,32,4,0,19,6,9,4,7,4
Maven Model,org.apache.maven.model,Site,104,3,10,0,28,1,18,1,13,1
Maven Model,org.apache.maven.model,ActivationProperty,76,3,8,0,19,1,11,1,7,1
Maven Model,org.apache.maven.model,MailingList,138,3,12,0,40,1,23,1,17,1
Maven Model,org.apache.maven.model,IssueManagement,76,3,8,0,19,1,11,1,7,1
Maven Model,org.apache.maven.model,License,90,3,8,0,25,1,15,1,11,1
Maven Model,org.apache.maven.model,CiManagement,129,3,14,0,33,1,18,1,11,1
Maven Model,org.apache.maven.model,PluginManagement,24,3,0,0,5,1,1,1,1,1
Maven Model,org.apache.maven.model,RepositoryPolicy,97,3,10,0,25,1,16,1,11,1
Maven Model,org.apache.maven.model,Reporting,180,3,22,0,46,1,26,1,15,1
Maven Model,org.apache.maven.model,RepositoryBase,98,72,14,8,24,19,19,7,10,5
Maven Model,org.apache.maven.model,Extension,97,83,16,12,22,19,18,9,6,7
Maven Model,org.apache.maven.model,Scm,153,6,14,0,43,2,30,1,23,1
Maven Model,org.apache.maven.model,InputLocation.StringFormatter,3,0,0,0,1,0,1,0,1,0
Maven Model,org.apache.maven.model,Exclusion,76,3,8,0,19,1,11,1,7,1
Maven Model,org.apache.maven.model,Contributor,176,3,16,0,52,1,30,1,22,1
Maven Model,org.apache.maven.model,DependencyManagement,115,3,14,0,27,1,14,1,7,1
Maven Model,org.apache.maven.model,DistributionManagement,136,3,16,0,39,1,23,1,15,1
Maven Model,org.apache.maven.model,ReportPlugin,152,9,12,0,40,3,21,1,15,1
Maven Model,org.apache.maven.model,ConfigurationContainer,108,6,12,0,27,2,17,1,11,1
Maven Model,org.apache.maven.model,FileSet,28,23,0,0,7,3,2,3,2,3
Maven Model,org.apache.maven.model,ReportSet,69,12,4,0,19,4,8,3,6,3
Maven Model,org.apache.maven.model,Plugin,299,66,30,4,72,14,39,8,24,6
Maven Model,org.apache.maven.model,Developer,31,3,0,0,8,1,3,1,3,1
Maven Model,org.apache.maven.model,Resource,69,36,3,1,18,5,10,5,8,5
Maven Model,org.apache.maven.model,Repository,54,3,4,0,15,1,7,1,5,1
Maven Model,org.apache.maven.model,Model,506,70,52,2,149,17,86,7,59,7
Maven Model,org.apache.maven.model,PluginConfiguration,39,3,2,0,10,1,4,1,3,1
Maven Model,org.apache.maven.model.io.xpp3,MavenXpp3ReaderEx,10666,0,1090,0,1838,0,613,0,68,0
Maven Model,org.apache.maven.model.io.xpp3,MavenXpp3ReaderEx.Xpp3DomBuilderInputLocationBuilder,17,0,0,0,4,0,2,0,2,0
Maven Model,org.apache.maven.model.io.xpp3,MavenXpp3Reader.new MavenXpp3Reader.ContentTransformer() {...},5,0,0,0,2,0,2,0,2,0
Maven Model,org.apache.maven.model.io.xpp3,MavenXpp3ReaderEx.new MavenXpp3ReaderEx.ContentTransformer() {...},5,0,0,0,2,0,2,0,2,0
Maven Model,org.apache.maven.model.io.xpp3,MavenXpp3Reader,7494,0,1090,0,1366,0,615,0,70,0
Maven Model,org.apache.maven.model.io.xpp3,MavenXpp3WriterEx,5937,0,722,0,1105,0,413,0,52,0
Maven Model,org.apache.maven.model.io.xpp3,MavenXpp3Writer,4881,0,706,0,890,0,401,0,48,0
