GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Settings Builder,org.apache.maven.settings.building,DefaultSettingsBuilderFactory,0,36,0,0,0,9,0,5,0,5
Maven Settings Builder,org.apache.maven.settings.building,DefaultSettingsBuilder.new InterpolationPostProcessor() {...},2,22,1,1,1,4,1,2,0,2
Maven Settings Builder,org.apache.maven.settings.building,UrlSettingsSource,7,0,0,0,3,0,2,0,2,0
Maven Settings Builder,org.apache.maven.settings.building,FileSettingsSource,7,0,0,0,3,0,2,0,2,0
Maven Settings Builder,org.apache.maven.settings.building,DefaultSettingsBuilder,162,218,12,12,29,56,10,11,0,9
Maven Settings Builder,org.apache.maven.settings.building,StringSettingsSource,13,0,0,0,5,0,3,0,3,0
Maven Settings Builder,org.apache.maven.settings.building,DefaultSettingsProblem,152,0,22,0,38,0,20,0,9,0
Maven Settings Builder,org.apache.maven.settings.building,DefaultSettingsBuildingResult,6,15,1,1,1,5,2,2,1,2
Maven Settings Builder,org.apache.maven.settings.building,DefaultSettingsProblemCollector,35,17,7,1,7,6,5,3,1,3
Maven Settings Builder,org.apache.maven.settings.building,SettingsProblem.Severity,0,34,0,0,0,4,0,1,0,1
Maven Settings Builder,org.apache.maven.settings.building,SettingsBuildingException,83,0,6,0,21,0,6,0,3,0
Maven Settings Builder,org.apache.maven.settings.building,DefaultSettingsBuildingRequest,40,58,5,3,13,18,8,9,4,9
Maven Settings Builder,org.apache.maven.settings.io,DefaultSettingsReader,37,58,2,4,7,9,3,5,1,4
Maven Settings Builder,org.apache.maven.settings.io,DefaultSettingsWriter,51,22,4,0,13,6,4,2,2,2
Maven Settings Builder,org.apache.maven.settings.io,SettingsParseException,30,0,0,0,11,0,4,0,4,0
Maven Settings Builder,org.apache.maven.settings.merge,MavenSettingsMerger,73,93,17,11,18,25,14,4,0,4
Maven Settings Builder,org.apache.maven.settings.crypto,DefaultSettingsDecrypter,192,0,6,0,29,0,6,0,3,0
Maven Settings Builder,org.apache.maven.settings.crypto,DefaultSettingsDecryptionResult,63,0,10,0,10,0,11,0,6,0
Maven Settings Builder,org.apache.maven.settings.crypto,DefaultSettingsDecryptionRequest,78,0,4,0,22,0,10,0,8,0
Maven Settings Builder,org.apache.maven.settings.validation,DefaultSettingsValidator,74,471,13,43,9,80,11,24,0,7
