GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Embedder,org.apache.maven.cli.internal.extension.model,CoreExtensions,40,0,2,0,14,0,8,0,7,0
Maven Embedder,org.apache.maven.cli.internal.extension.model,CoreExtension,24,0,0,0,10,0,7,0,7,0
Maven Embedder,org.apache.maven.cli.internal,BootstrapCoreExtensionManager,196,0,6,0,39,0,8,0,5,0
Maven Embedder,org.slf4j,MavenSlf4jFriend,3,2,0,0,1,2,1,1,1,1
Maven Embedder,org.apache.maven.cli.logging.impl,Log4j2Configuration,22,0,3,0,10,0,5,0,3,0
Maven Embedder,org.apache.maven.cli.logging.impl,UnsupportedSlf4jBindingConfiguration,86,0,4,0,17,0,4,0,2,0
Maven Embedder,org.apache.maven.cli.logging.impl,LogbackConfiguration,23,0,3,0,10,0,5,0,3,0
Maven Embedder,org.apache.maven.cli.logging.impl,Slf4jSimpleConfiguration,18,6,3,0,8,4,3,2,1,2
Maven Embedder,org.apache.maven.cli.event,DefaultEventSpyContext,0,11,0,0,0,3,0,2,0,2
Maven Embedder,org.apache.maven.cli.event,ExecutionEventLogger,791,193,66,4,166,27,52,5,18,4
Maven Embedder,org.apache.maven.cli.configuration,SettingsXmlConfigurationProcessor,423,0,44,0,96,0,28,0,6,0
Maven Embedder,org.apache.maven.cli,CLIReportingUtils,162,215,18,14,27,36,16,8,3,5
Maven Embedder,org.apache.maven.cli,CLIManager,0,531,0,0,0,50,0,3,0,3
Maven Embedder,org.apache.maven.cli,MavenCli.new AbstractModule() {...},14,0,0,0,3,0,2,0,2,0
Maven Embedder,org.apache.maven.cli,MavenCli.new AbstractModule() {...},0,23,0,0,0,4,0,2,0,2
Maven Embedder,org.apache.maven.cli,CliRequest,29,36,0,0,10,11,9,4,9,4
Maven Embedder,org.apache.maven.cli,MavenCli,2249,895,284,68,465,187,179,36,19,20
Maven Embedder,org.apache.maven.cli,MavenCli.ExitException,6,0,0,0,3,0,1,0,1,0
Maven Embedder,org.apache.maven.cli,CleanArgument,25,106,4,18,5,27,5,8,1,1
Maven Embedder,org.slf4j.impl,MavenSlf4jSimpleFriend,3,10,1,1,1,5,2,1,1,1
Maven Embedder,org.apache.maven.cli.internal.extension.model.io.xpp3,CoreExtensionsXpp3Reader.new CoreExtensionsXpp3Reader.ContentTransformer() {...},5,0,0,0,2,0,2,0,2,0
Maven Embedder,org.apache.maven.cli.internal.extension.model.io.xpp3,CoreExtensionsXpp3Reader,730,0,108,0,158,0,83,0,29,0
Maven Embedder,org.apache.maven.cli.internal.extension.model.io.xpp3,CoreExtensionsXpp3Writer,180,0,14,0,43,0,14,0,7,0
Maven Embedder,org.apache.maven.cli.transfer,AbstractMavenTransferListener.FileSizeFormat.ScaleUnit,1,76,1,7,0,13,1,5,0,2
Maven Embedder,org.apache.maven.cli.transfer,AbstractMavenTransferListener,192,0,10,0,33,0,9,0,4,0
Maven Embedder,org.apache.maven.cli.transfer,BatchModeMavenTransferListener,4,0,0,0,2,0,1,0,1,0
Maven Embedder,org.apache.maven.cli.transfer,AbstractMavenTransferListener.FileSizeFormat.ScaleUnit.new AbstractMavenTransferListener.FileSizeFormat.ScaleUnit() {...},0,14,0,0,0,3,0,3,0,3
Maven Embedder,org.apache.maven.cli.transfer,AbstractMavenTransferListener.FileSizeFormat.ScaleUnit.new AbstractMavenTransferListener.FileSizeFormat.ScaleUnit() {...},0,14,0,0,0,3,0,3,0,3
Maven Embedder,org.apache.maven.cli.transfer,AbstractMavenTransferListener.FileSizeFormat.ScaleUnit.new AbstractMavenTransferListener.FileSizeFormat.ScaleUnit() {...},0,10,0,0,0,3,0,3,0,3
Maven Embedder,org.apache.maven.cli.transfer,ConsoleMavenTransferListener,242,0,12,0,64,0,15,0,9,0
Maven Embedder,org.apache.maven.cli.transfer,AbstractMavenTransferListener.FileSizeFormat.ScaleUnit.new AbstractMavenTransferListener.FileSizeFormat.ScaleUnit() {...},0,10,0,0,0,3,0,3,0,3
Maven Embedder,org.apache.maven.cli.transfer,Slf4jMavenTransferListener,197,0,10,0,36,0,10,0,5,0
Maven Embedder,org.apache.maven.cli.transfer,AbstractMavenTransferListener.FileSizeFormat,0,193,0,24,0,27,0,17,0,5
Maven Embedder,org.apache.maven.cli.transfer,QuietMavenTransferListener,3,0,0,0,1,0,1,0,1,0
Maven Embedder,org.apache.maven.cli.logging,Slf4jLoggerManager,23,23,1,1,6,7,6,4,5,4
Maven Embedder,org.apache.maven.cli.logging,Slf4jConfigurationFactory,20,35,2,2,7,9,3,1,1,1
Maven Embedder,org.apache.maven.cli.logging,Slf4jLogger,84,6,0,0,29,3,19,1,19,1
Maven Embedder,org.apache.maven.cli.logging,Slf4jStdoutLogger,90,6,2,0,66,2,62,1,61,1
Maven Embedder,org.apache.maven.cli.logging,BaseSlf4jConfiguration,10,7,0,0,4,2,2,1,2,1
Maven Embedder,org.apache.maven.cli.logging,Slf4jConfiguration.Level,34,0,0,0,2,0,1,0,1,0
