GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,DefaultModelCache.Key,102,0,14,0,20,0,10,0,3,0
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,RemoteSnapshotMetadata,155,111,15,5,26,28,13,4,3,4
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,VersionsMetadata,156,0,12,0,35,0,17,0,11,0
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,VersionsMetadataGenerator,97,0,10,0,26,0,11,0,6,0
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,DefaultVersionRangeResolver,77,332,6,22,19,72,6,18,1,9
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,DefaultModelCache,42,5,1,1,8,2,4,1,3,1
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,MavenMetadata,124,9,2,0,25,4,9,1,8,1
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,MavenRepositorySystemUtils,0,294,0,0,0,40,0,2,0,2
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,LocalSnapshotMetadata,247,0,12,0,51,0,19,0,13,0
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,VersionsMetadataGeneratorFactory,14,3,0,0,3,1,3,1,3,1
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,RemoteSnapshotMetadataGenerator,120,0,16,0,26,0,12,0,4,0
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,DefaultVersionResolver.Key,222,0,30,0,39,0,18,0,3,0
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,RelocatedArtifact,91,0,18,0,20,0,18,0,9,0
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,DefaultVersionResolver.VersionInfo,12,15,5,1,1,5,4,1,1,1
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,MavenResolverModule,74,0,0,0,15,0,3,0,3,0
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,ArtifactDescriptorReaderDelegate,141,169,13,17,16,41,12,8,1,4
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,DefaultVersionResolver,389,451,60,40,69,98,43,22,2,13
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,DefaultModelResolver,111,313,10,16,31,67,11,11,4,5
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,MavenAetherModule,73,0,0,0,19,0,3,0,3,0
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,SnapshotMetadataGeneratorFactory,14,3,0,0,3,1,3,1,3,1
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,LocalSnapshotMetadataGenerator,69,0,6,0,16,0,7,0,4,0
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,MavenSnapshotMetadata,67,36,1,1,9,11,9,2,8,2
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,DefaultVersionResolver.Record,23,0,2,0,8,0,2,0,1,0
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,DefaultArtifactDescriptorReader,173,447,22,14,40,108,18,16,1,15
Maven Artifact Resolver Provider,org.apache.maven.repository.internal,ArtifactDescriptorUtils,9,73,3,7,3,18,4,5,1,3
