Name,Statement,Branch,Complexity,Mutation
IteratorChain,0.64 ,0.70 ,24.00 ,0.60 
IteratorIterable,1.00 ,0.83 ,7.00 ,0.89 
LazyIteratorChain,1.00 ,1.00 ,11.00 ,1.00 
ListIteratorWrapper,0.86 ,0.80 ,31.00 ,0.92 
LoopingIterator,1.00 ,1.00 ,10.00 ,1.00 
LoopingListIterator,0.89 ,0.87 ,25.00 ,0.93 
NodeListIterator,0.93 ,0.75 ,11.00 ,1.00 
ObjectArrayIterator,0.94 ,1.00 ,16.00 ,0.88 
ObjectArrayListIterator,0.94 ,1.00 ,15.00 ,0.94 
ObjectGraphIterator,1.00 ,1.00 ,23.00 ,1.00 
PeekingIterator,0.91 ,0.88 ,21.00 ,0.87 
PermutationIterator,1.00 ,1.00 ,21.00 ,0.89 
PushbackIterator,0.84 ,0.70 ,11.00 ,0.90 
ReverseListIterator,0.90 ,0.75 ,15.00 ,1.00 
SingletonIterator,1.00 ,1.00 ,13.00 ,1.00 
SingletonListIterator,1.00 ,0.92 ,25.00 ,1.00 
SkippingIterator,1.00 ,1.00 ,8.00 ,1.00 
UnmodifiableIterator,1.00 ,1.00 ,7.00 ,1.00 
UnmodifiableListIterator,1.00 ,1.00 ,13.00 ,1.00 
UnmodifiableMapIterator,1.00 ,1.00 ,10.00 ,1.00 
UnmodifiableOrderedMapIterator,1.00 ,1.00 ,12.00 ,1.00 
ZippingIterator,0.96 ,0.92 ,13.00 ,1.00 
AbstractMapEntry,1.00 ,0.95 ,14.00 ,0.88 
AbstractMapEntryDecorator,0.76 ,0.50 ,10.00 ,0.50 
DefaultKeyValue,0.97 ,0.79 ,21.00 ,0.90 
MultiKey,1.00 ,1.00 ,20.00 ,0.94 
TiedMapEntry,0.97 ,0.77 ,18.00 ,0.90 
AbstractLinkedList,0.96 ,0.91 ,99.00 ,0.00 
AbstractListDecorator,0.96 ,1.00 ,17.00 ,1.00 
CursorableLinkedList,0.91 ,0.73 ,33.00 ,0.00 
GrowthList,0.90 ,0.60 ,12.00 ,0.50 
LazyList,0.64 ,0.75 ,8.00 ,0.67 
NodeCachingLinkedList,0.93 ,1.00 ,20.00 ,0.00 
PredicatedList,0.88 ,1.00 ,18.00 ,0.74 
SetUniqueList,0.89 ,0.92 ,34.00 ,0.96 
TransformedList,0.91 ,0.87 ,20.00 ,0.86 
TreeList,0.99 ,0.88 ,25.00 ,0.00 
UnmodifiableList,1.00 ,1.00 ,17.00 ,1.00 
AbstractHashedMap,0.96 ,0.91 ,120.00 ,0.41 
AbstractInputCheckedMapDecorator,0.92 ,1.00 ,5.00 ,0.43 
AbstractLinkedMap,0.97 ,1.00 ,43.00 ,0.30 
AbstractMapDecorator,1.00 ,1.00 ,20.00 ,1.00 
AbstractReferenceMap,0.95 ,0.80 ,55.00 ,0.00 
AbstractSortedMapDecorator,0.31 ,0.00 ,14.00 ,0.07 
CaseInsensitiveMap,0.92 ,1.00 ,10.00 ,0.00 
CompositeMap,0.96 ,0.94 ,48.00 ,0.94 
DefaultedMap,0.84 ,0.70 ,14.00 ,1.00 
EntrySetToMapIteratorAdapter,1.00 ,1.00 ,10.00 ,0.67 
FixedSizeMap,0.70 ,0.33 ,16.00 ,0.54 
FixedSizeSortedMap,0.81 ,0.50 ,19.00 ,0.00 
Flat3Map,0.89 ,0.77 ,184.00 ,0.00 
LRUMap,1.00 ,1.00 ,10.00 ,0.00 
LazyMap,0.89 ,1.00 ,14.00 ,1.00 
LinkedMap,0.95 ,0.90 ,49.00 ,0.08 
ListOrderedMap,0.59 ,0.77 ,45.00 ,0.48 
MultiKeyMap,0.90 ,0.63 ,189.00 ,0.00 
MultiValueMap,0.96 ,0.88 ,44.00 ,0.91 
PassiveExpiringMap,0.90 ,1.00 ,36.00 ,0.00 
PredicatedMap,1.00 ,1.00 ,17.00 ,0.89 
ReferenceIdentityMap,0.71 ,1.00 ,14.00 ,0.00 
SingletonMap,0.62 ,0.42 ,51.00 ,0.00 
