GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Builder Support,org.apache.maven.building,DefaultProblemCollector,0,36,0,2,0,9,0,5,0,4
Maven Builder Support,org.apache.maven.building,UrlSource,6,17,0,0,2,5,2,3,2,3
Maven Builder Support,org.apache.maven.building,Problem.Severity,0,34,0,0,0,4,0,1,0,1
Maven Builder Support,org.apache.maven.building,DefaultProblem,33,119,2,20,6,32,3,17,1,8
Maven Builder Support,org.apache.maven.building,FileSource,3,23,0,0,1,6,1,4,1,4
Maven Builder Support,org.apache.maven.building,ProblemCollectorFactory,3,5,0,0,1,1,1,1,1,1
Maven Builder Support,org.apache.maven.building,StringSource,3,37,0,4,1,9,1,7,1,5
