GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Compat,org.apache.maven.repository.legacy,TransferListenerAdapter,252,0,14,0,62,0,17,0,10,0
Maven Compat,org.apache.maven.repository.legacy,WagonConfigurationException,49,0,0,0,10,0,4,0,4,0
Maven Compat,org.apache.maven.repository.legacy,DefaultUpdateCheckManager,298,509,25,37,50,106,23,24,2,14
Maven Compat,org.apache.maven.repository.legacy,ChecksumFailedException,9,0,0,0,4,0,2,0,2,0
Maven Compat,org.apache.maven.repository.legacy,LegacyRepositorySystem.UnknownRepositoryLayout,31,0,0,0,9,0,6,0,6,0
Maven Compat,org.apache.maven.repository.legacy,DefaultWagonManager,861,635,63,49,147,144,51,26,6,15
Maven Compat,org.apache.maven.repository.legacy,MavenArtifact,79,0,10,0,20,0,12,0,7,0
Maven Compat,org.apache.maven.repository.legacy,LegacyRepositorySystem,1056,278,122,22,242,64,95,14,27,10
Maven Compat,org.apache.maven.artifact.repository.metadata,RepositoryMetadataReadException,9,0,0,0,4,0,2,0,2,0
Maven Compat,org.apache.maven.artifact.repository.metadata,MetadataBridge,103,0,13,0,28,0,20,0,13,0
Maven Compat,org.apache.maven.artifact.repository.metadata,MetadataUtils,10,0,2,0,4,0,3,0,2,0
Maven Compat,org.apache.maven.artifact.repository.metadata,SnapshotArtifactRepositoryMetadata,78,0,2,0,17,0,13,0,12,0
Maven Compat,org.apache.maven.artifact.repository.metadata,MetadataBridge.MetadataRepository,17,0,0,0,5,0,3,0,3,0
Maven Compat,org.apache.maven.artifact.repository.metadata,DefaultRepositoryMetadataManager,887,3,92,0,194,1,58,1,12,1
Maven Compat,org.apache.maven.artifact.repository.metadata,GroupRepositoryMetadata,80,0,8,0,28,0,16,0,12,0
Maven Compat,org.apache.maven.artifact,ArtifactStatus,110,0,14,0,26,0,14,0,7,0
Maven Compat,org.apache.maven.artifact,ArtifactScopeEnum,38,284,13,11,11,19,9,9,1,5
Maven Compat,org.apache.maven.artifact,UnknownRepositoryLayoutException,34,0,0,0,7,0,3,0,3,0
Maven Compat,org.apache.maven.artifact.installer,ArtifactInstallationException,13,0,0,0,6,0,3,0,3,0
Maven Compat,org.apache.maven.artifact.installer,ArtifactInstaller,0,4,0,0,0,1,0,1,0,1
Maven Compat,org.apache.maven.artifact.installer,DefaultArtifactInstaller,91,73,9,3,18,18,7,2,1,2
Maven Compat,org.apache.maven.reporting,MavenReportException,9,0,0,0,4,0,2,0,2,0
Maven Compat,org.apache.maven.project,DefaultProjectBuilderConfiguration,54,0,2,0,20,0,12,0,11,0
Maven Compat,org.apache.maven.project,ModelUtils,139,386,45,69,38,97,37,28,4,4
Maven Compat,org.apache.maven.project,InvalidProjectModelException,37,0,0,0,10,0,5,0,5,0
Maven Compat,org.apache.maven.project,MissingRepositoryElementException,10,0,0,0,4,0,2,0,2,0
Maven Compat,org.apache.maven.project,DefaultMavenProjectBuilder,422,0,22,0,96,0,26,0,15,0
Maven Compat,org.apache.maven.project,ProjectUtils,98,0,4,0,21,0,7,0,5,0
Maven Compat,org.apache.maven.usability.plugin.io.xpp3,ParamdocXpp3Writer,366,0,32,0,73,0,23,0,7,0
Maven Compat,org.apache.maven.usability.plugin.io.xpp3,ParamdocXpp3Reader,902,0,140,0,191,0,99,0,29,0
Maven Compat,org.apache.maven.usability.plugin.io.xpp3,ParamdocXpp3Reader.new ParamdocXpp3Reader.ContentTransformer() {...},5,0,0,0,2,0,2,0,2,0
Maven Compat,org.apache.maven.artifact.repository,DefaultArtifactRepository,194,43,12,2,49,12,31,2,24,2
Maven Compat,org.apache.maven.artifact.repository,DefaultArtifactRepositoryFactory,108,0,8,0,19,0,14,0,10,0
Maven Compat,org.apache.maven.artifact.repository,ArtifactRepositoryFactory,4,0,0,0,1,0,1,0,1,0
Maven Compat,org.apache.maven.artifact.manager,DefaultWagonManager,221,0,30,0,55,0,21,0,6,0
Maven Compat,org.apache.maven.artifact.manager,WagonConfigurationException,11,0,0,0,4,0,2,0,2,0
Maven Compat,org.apache.maven.repository.metadata,DefaultGraphConflictResolver,72,271,19,35,20,64,17,15,0,5
Maven Compat,org.apache.maven.repository.metadata,DefaultGraphConflictResolutionPolicy,15,51,6,8,2,12,4,5,0,2
Maven Compat,org.apache.maven.repository.metadata,ClasspathContainer,129,26,16,2,31,8,15,4,7,3
Maven Compat,org.apache.maven.repository.metadata,ArtifactMetadata,212,136,19,1,54,36,37,16,27,16
Maven Compat,org.apache.maven.repository.metadata,GraphConflictResolver,0,4,0,0,0,1,0,1,0,1
Maven Compat,org.apache.maven.repository.metadata,MetadataResolutionRequestTypeEnum,92,0,0,0,12,0,3,0,3,0
Maven Compat,org.apache.maven.repository.metadata,MetadataResolutionResult,167,0,30,0,46,0,25,0,10,0
Maven Compat,org.apache.maven.repository.metadata,MetadataResolution,27,0,0,0,12,0,6,0,6,0
Maven Compat,org.apache.maven.repository.metadata,MetadataGraph,417,328,70,38,94,95,54,33,11,22
Maven Compat,org.apache.maven.repository.metadata,MetadataResolutionException,16,0,0,0,8,0,4,0,4,0
Maven Compat,org.apache.maven.repository.metadata,DefaultClasspathTransformation.ClasspathGraphVisitor,1,90,2,6,1,18,2,4,0,2
Maven Compat,org.apache.maven.repository.metadata,MetadataTreeNode,138,0,14,0,36,0,22,0,15,0
Maven Compat,org.apache.maven.repository.metadata,MetadataSource,4,0,0,0,1,0,1,0,1,0
Maven Compat,org.apache.maven.repository.metadata,DefaultClasspathTransformation.ClasspathGraphVisitor.new Comparator() {...},14,22,2,2,2,4,2,2,0,2
Maven Compat,org.apache.maven.repository.metadata,MetadataResolutionRequest,36,0,0,0,16,0,8,0,8,0
Maven Compat,org.apache.maven.repository.metadata,DefaultClasspathTransformation,19,42,5,5,7,10,5,2,0,2
Maven Compat,org.apache.maven.repository.metadata,MetadataGraphEdge,96,103,17,9,19,31,18,15,7,13
Maven Compat,org.apache.maven.repository.metadata,ClasspathTransformation,0,4,0,0,0,1,0,1,0,1
Maven Compat,org.apache.maven.repository.metadata,MetadataRetrievalException,29,0,0,0,10,0,5,0,5,0
Maven Compat,org.apache.maven.repository.metadata,MetadataGraphVertex,109,116,23,17,29,33,23,10,5,8
Maven Compat,org.apache.maven.repository.metadata,GraphConflictResolutionPolicy,0,4,0,0,0,1,0,1,0,1
Maven Compat,org.apache.maven.repository.metadata,GraphConflictResolutionException,16,0,0,0,8,0,4,0,4,0
Maven Compat,org.apache.maven.repository.metadata,MetadataGraphTransformationException,16,0,0,0,8,0,4,0,4,0
Maven Compat,org.apache.maven.repository.legacy.resolver.conflict,ConflictResolverNotFoundException,4,0,0,0,2,0,1,0,1,0
Maven Compat,org.apache.maven.repository.legacy.resolver.conflict,ConflictResolver,0,4,0,0,0,1,0,1,0,1
Maven Compat,org.apache.maven.repository.legacy.resolver.conflict,ConflictResolverFactory,4,0,0,0,1,0,1,0,1,0
