GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Plugin API,org.apache.maven.plugin,AbstractMojo,25,0,2,0,9,0,6,0,5,0
Maven Plugin API,org.apache.maven.plugin,MojoFailureException,19,0,0,0,8,0,3,0,3,0
Maven Plugin API,org.apache.maven.plugin,AbstractMojoExecutionException,15,0,0,0,6,0,4,0,4,0
Maven Plugin API,org.apache.maven.plugin,MojoExecutionException,24,0,0,0,10,0,4,0,4,0
Maven Plugin API,org.apache.maven.plugin,Mojo,4,0,0,0,1,0,1,0,1,0
Maven Plugin API,org.apache.maven.plugin,MojoNotFoundException,77,0,10,0,21,0,9,0,4,0
Maven Plugin API,org.apache.maven.plugin.descriptor,DuplicateParameterException,4,0,0,0,2,0,1,0,1,0
Maven Plugin API,org.apache.maven.plugin.descriptor,PluginDescriptor,318,76,31,3,68,31,44,17,27,17
Maven Plugin API,org.apache.maven.plugin.descriptor,PluginDescriptorBuilder,9,579,9,47,2,126,9,24,0,5
Maven Plugin API,org.apache.maven.plugin.descriptor,DuplicateMojoDescriptorException,23,0,0,0,2,0,1,0,1,0
Maven Plugin API,org.apache.maven.plugin.descriptor,InvalidParameterException,22,0,0,0,4,0,2,0,2,0
Maven Plugin API,org.apache.maven.plugin.descriptor,Requirement,34,0,0,0,13,0,5,0,5,0
Maven Plugin API,org.apache.maven.plugin.descriptor,MojoDescriptor,183,240,28,12,40,89,33,45,15,43
Maven Plugin API,org.apache.maven.plugin.descriptor,InvalidPluginDescriptorException,9,0,0,0,4,0,2,0,2,0
Maven Plugin API,org.apache.maven.plugin.descriptor,Parameter,52,83,4,0,9,35,8,23,6,23
Maven Plugin API,org.apache.maven.plugin.lifecycle,Phase,44,0,2,0,16,0,10,0,9,0
Maven Plugin API,org.apache.maven.plugin.lifecycle,Execution,37,0,2,0,13,0,8,0,7,0
Maven Plugin API,org.apache.maven.plugin.lifecycle,Lifecycle,37,0,2,0,13,0,8,0,7,0
Maven Plugin API,org.apache.maven.plugin.lifecycle,LifecycleConfiguration,40,0,2,0,14,0,8,0,7,0
Maven Plugin API,org.apache.maven.plugin.lifecycle.io.xpp3,LifecycleMappingsXpp3Writer,313,0,34,0,72,0,26,0,9,0
Maven Plugin API,org.apache.maven.plugin.lifecycle.io.xpp3,LifecycleMappingsXpp3Reader.new LifecycleMappingsXpp3Reader.ContentTransformer() {...},5,0,0,0,2,0,2,0,2,0
Maven Plugin API,org.apache.maven.plugin.lifecycle.io.xpp3,LifecycleMappingsXpp3Reader,965,0,144,0,206,0,103,0,31,0
Maven Plugin API,org.apache.maven.monitor.logging,DefaultLog,113,0,2,0,34,0,19,0,18,0
Maven Plugin API,org.apache.maven.plugin.logging,SystemStreamLog,201,0,0,0,47,0,20,0,20,0
